Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side to,Next port of call,Ref,Delay,Size,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info
APL LION CITY - M30/M30,apl lion city,FAL3,2021-07-28 19:30:00,2021-08-03 16:55:00,SCT2,Starboard,"Rotterdam, Netherlands",M30/M30,8485.0,"17,292","177,380","166,253",Singapore,2013.0,4.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL MERLION - M03/M03,apl merlion,FAL3,2021-01-24 07:30:00,2021-02-01 15:57:00,SCT5,Starboard,"Rotterdam, Netherlands",M03/M03,12027.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL MERLION - M16/M16,apl merlion,FAL3,2021-04-23 07:30:00,2021-04-21 19:30:00,SCT2,Starboard,"Rotterdam, Netherlands",M16/M16,-2160.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL MERLION - M27/M27,apl merlion,FAL3,2021-07-12 19:30:00,2021-07-14 18:20:00,SCT2,Starboard,"Rotterdam, Netherlands",M27/M27,2810.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL MERLION - M38/M38,apl merlion,FAL3,2021-09-26 07:00:00,2021-09-28 02:00:00,SCT2,Starboard,"Rotterdam, Netherlands",M38/M38,2580.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,11.0
APL NEW YORK - J01/J01,apl new york,EPIC,2021-02-09 19:00:00,2021-02-22 03:30:00,SCT3,Starboard,"Bremerhaven, Germany",J01/J01,17790.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,16.0
APL NEW YORK - J16/J16,apl new york,EPIC,2021-06-02 10:00:00,2021-06-01 13:20:00,SCT3,Starboard,"Bremerhaven, Germany",J16/J16,-1240.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,13.0
APL NEW YORK - J24/J24,apl new york,EPIC,2021-07-27 13:00:00,2021-07-27 12:32:00,SCT2,Starboard,"Bremerhaven, Germany",J24/J24,-28.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,13.0
APL NEW YORK - J32/J32,apl new york,EPIC,2021-09-28 13:00:00,2021-09-28 19:40:00,SCT3,Starboard,"Bremerhaven, Germany",J32/J32,400.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,14.0
APL NEW YORK - R34/S34,apl new york,EPIC1,2020-08-24 19:30:00,2020-08-26 18:30:00,SCT2,Starboard,"Rotterdam, Netherlands",R34/S34,2820.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,15.0
APL NEW YORK - R42/S42,apl new york,EPIC1,2020-10-19 19:01:00,2020-10-19 20:50:00,SCT3,Starboard,"Rotterdam, Netherlands",R42/S42,109.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,15.0
APL NEW YORK - R50/S50,apl new york,EPIC1,2020-12-14 19:00:00,2020-12-14 20:50:00,SCT3,Starboard,"Rotterdam, Netherlands",R50/S50,110.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,30.0
APL RAFFLES - M26/M26,apl raffles,NEU4I,2020-07-13 19:00:00,2020-07-14 07:47:00,SCT5,Starboard,"Dunkerque, France",M26/M26,767.0,"17,292","177,380","166,253",Singapore,2013.0,5.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,10.0
APL RAFFLES - M38/M38,apl raffles,NEU4I,2020-10-03 19:00:00,2020-10-10 19:00:00,SCT5,Starboard,"Dunkerque, France",M38/M38,10080.0,"17,292","177,380","166,253",Singapore,2013.0,5.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL RAFFLES - N02/N02,apl raffles,NEU4E,2021-01-08 07:30:00,2021-01-11 14:25:00,SCT3,Starboard,"Le Havre, France",N02/N02,4735.0,"17,292","177,380","166,253",Singapore,2013.0,5.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL RAFFLES - N29/N29,apl raffles,NEU4E,2020-07-23 19:00:00,2020-07-24 02:13:00,SCT2,Starboard,"Le Havre, France",N29/N29,433.0,"17,292","177,380","166,253",Singapore,2013.0,5.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,9.0
APL SINGAPURA - M10/M10,apl singapura,FAL3,2021-03-14 19:30:00,2021-03-15 16:16:00,SCT2,Starboard,"Rotterdam, Netherlands",M10/M10,1246.0,"17,292","177,408","167,659",Singapore,2013.0,9.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,15.0
APL SINGAPURA - M22/M22,apl singapura,FAL3,2021-06-08 23:59:00,2021-06-05 23:30:00,SCT2,Starboard,"Rotterdam, Netherlands",M22/M22,-4349.0,"17,292","177,408","167,659",Singapore,2013.0,9.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,10.0
APL SINGAPURA - M33/M33,apl singapura,FAL3,2021-08-24 16:00:00,2021-09-03 00:20:00,SCT2,Starboard,"Rotterdam, Netherlands",M33/M33,13460.0,"17,292","177,408","167,659",Singapore,2013.0,9.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,15.0
APL SINGAPURA - M48/M48,apl singapura,NEU3,2020-12-13 07:00:00,2020-12-14 14:28:00,SCT5,Starboard,"Hamburg, Germany",M48/M48,1888.0,"17,292","177,408","167,659",Singapore,2013.0,9.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,28.0
APL TEMASEK - M06/M06,apl temasek,FAL3,2021-02-07 07:00:00,2021-02-15 14:15:00,SCT5,Starboard,"Rotterdam, Netherlands",M06/M06,11955.0,"17,292","177,380","166,253",Singapore,2013.0,3.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL VANDA - M09/M09,apl vanda,FAL3,2021-03-05 07:30:00,2021-03-06 20:00:00,SCT2,Starboard,"Rotterdam, Netherlands",M09/M09,2190.0,"17,292","177,380","166,253",Singapore,2013.0,7.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL VANDA - M21/M21,apl vanda,FAL3,2021-05-30 23:59:00,2021-06-08 07:58:00,SCT2,Starboard,"Rotterdam, Netherlands",M21/M21,11999.0,"17,292","177,380","166,253",Singapore,2013.0,7.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,16.0
