Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
HMM HELSINKI - C14/D14,HMM HELSINKI,FE2,ARRIVED,2021-04-30 07:30:00,2021-05-06 04:17:00,SCT5,Starboard,2021-05-02 19:30:00,"Hamburg, Germany",C14/D14,2021-04-15 00:00:00,1780,8447.0
HMM HELSINKI - C32/D32,HMM HELSINKI,FE2,ARRIVED,2020-09-17 19:30:00,2020-09-19 01:20:00,SCT5,Starboard,2020-09-20 19:30:00,"Hamburg, Germany",C32/D32,2020-09-05 00:00:00,566,1790.0
HMM HELSINKI - C45/D45,HMM HELSINKI,FE2,ARRIVED,2020-12-29 19:35:00,2021-01-10 15:23:00,SCT5,Starboard,2020-12-31 19:35:00,"Hamburg, Germany",C45/D45,2020-12-15 00:00:00,2443,17028.0
HMM MIR - E27/F27,HMM MIR,FE3,ARRIVED,2021-07-04 11:59:00,2021-08-17 23:05:00,SCT5,Starboard,2021-07-05 19:30:00,"Hong Kong, Hong Kong",E27/F27,2021-06-20 00:00:00,2805,64026.0
HMM NURI - E10/F10,HMM NURI,FE4,ARRIVED,2021-05-20 12:00:00,2021-05-23 23:30:00,SCT5,Starboard,2021-05-22 11:59:00,"Hamburg, Germany",E10/F10,2021-05-05 00:00:00,273,5010.0
HMM OSLO - C01/D01,HMM OSLO,FE2,ARRIVED,2021-01-07 19:30:00,2021-01-17 21:30:00,SCT5,Starboard,2021-01-09 19:30:00,"Hamburg, Germany",C01/D01,2020-12-25 00:00:00,4151,14520.0
HMM OSLO - C15/D15,HMM OSLO,FE2,ARRIVED,2021-05-10 11:59:00,2021-05-13 20:20:00,SCT5,Starboard,2021-05-13 11:59:00,"Hamburg, Germany",C15/D15,2021-04-25 00:00:00,3540,4821.0
HMM OSLO - C34/D34,HMM OSLO,FE2,ARRIVED,2020-10-01 19:30:00,2020-10-03 08:00:00,SCT5,Starboard,2020-10-03 19:30:00,"Hamburg, Germany",C34/D34,2020-09-20 00:00:00,3052,2190.0
HMM RAON - E28/F28,HMM RAON,FE3,ARRIVED,2021-07-31 12:34:00,2021-08-11 18:00:00,SCT5,Starboard,2021-08-02 12:34:00,"Hong Kong, Hong Kong",E28/F28,2021-07-20 00:00:00,2908,16166.0
HONG KONG EXPRESS - E32/F32,HONG KONG EXPRESS,FE3,ARRIVED,2021-09-03 11:59:00,2021-09-15 23:30:00,SCT5,Starboard,2021-09-04 11:59:00,"Hong Kong, Hong Kong",E32/F32,2021-08-20 00:00:00,3001,17971.0
HYUNDAI HONGKONG - E22/F22,HYUNDAI HONGKONG,FE4,ARRIVED,2020-09-26 19:30:00,2020-09-29 16:51:00,SCT2,Starboard,2020-09-27 19:30:00,"Hamburg, Germany",E22/F22,2020-09-15 00:00:00,2173,4161.0
HYUNDAI PRESTIGE - X06/X06,HYUNDAI PRESTIGE,ADHOC,ARRIVED,2021-03-20 11:59:00,2021-03-20 12:20:00,SCT2,Starboard,2021-03-22 07:30:00,"OPTIONAL,",X06/X06,2021-03-20 00:00:00,2589,21.0
HYUNDAI TACOMA - E05/F05,HYUNDAI TACOMA,FE4,ARRIVED,2021-03-20 07:30:00,2021-03-27 20:20:00,SCT2,Starboard,2021-03-24 16:00:00,"Hamburg, Germany",E05/F05,2021-03-05 00:00:00,185,10850.0
HYUNDAI TACOMA - E17/F17,HYUNDAI TACOMA,FE4,ARRIVED,2020-08-29 19:30:00,2020-08-29 16:15:00,SCT2,Starboard,2020-08-30 19:30:00,"Yantian, China",E17/F17,2020-08-15 00:00:00,2055,-195.0
