Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
CMA CGM CHAMPS ELYSEES - M46/M46,CMA CGM CHAMPS ELYSEES,NEU4I,ARRIVED,2020-11-30 11:59:00,2020-12-01 14:00:00,SCT5,Starboard,2020-12-02 11:59:00,"Dunkerque, France",M46/M46,2020-11-15 00:00:00,2414,1561.0
CMA CGM CHAMPS ELYSEES - N49/N49,CMA CGM CHAMPS ELYSEES,NEU4E,ARRIVED,2020-12-11 07:30:00,2020-12-14 23:45:00,SCT5,Starboard,2020-12-12 19:30:00,"Le Havre, France",N49/N49,2020-11-15 00:00:00,2353,5295.0
CMA CGM DALILA - X30/X30,CMA CGM DALILA,ADHOC,ARRIVED,2020-08-30 19:00:00,2020-08-30 16:00:00,SCT1,Starboard,2020-08-31 04:00:00,"OPTIONAL,",X30/X30,2020-08-30 00:00:00,4597,-180.0
CMA CGM FORT ST GEORGES - B98/B98,CMA CGM FORT ST GEORGES,FEMEX,ARRIVED,2021-06-05 20:00:00,2021-06-06 19:25:00,SCT3,Starboard,2021-06-06 12:00:00,"Rotterdam, Netherlands",B98/B98,2021-05-25 00:00:00,3561,1405.0
CMA CGM GEORG FORSTER - M02/M02,CMA CGM GEORG FORSTER,NEU3,ARRIVED,2021-01-10 19:30:00,2021-01-24 07:18:00,SCT5,Starboard,2021-01-12 19:30:00,"Rotterdam, Netherlands",M02/M02,2020-12-25 00:00:00,4127,19428.0
CMA CGM GEORG FORSTER - M14/M14,CMA CGM GEORG FORSTER,FAL3,ARRIVED,2021-04-07 19:00:00,2021-04-09 22:25:00,SCT2,Starboard,2021-04-10 19:00:00,"Rotterdam, Netherlands",M14/M14,2021-03-25 00:00:00,3440,3085.0
CMA CGM GEORG FORSTER - M26/M26,CMA CGM GEORG FORSTER,FAL3,ARRIVED,2021-07-01 07:30:00,2021-06-28 14:43:00,SCT2,Starboard,2021-07-04 07:30:00,"Rotterdam, Netherlands",M26/M26,2021-06-15 00:00:00,1913,-3887.0
CMA CGM GEORG FORSTER - M29/M29,CMA CGM GEORG FORSTER,NEU4I,ARRIVED,2020-08-01 19:00:00,2020-08-02 01:25:00,SCT5,Starboard,2020-08-03 19:00:00,"Dunkerque, France",M29/M29,2020-07-20 00:00:00,2847,385.0
CMA CGM GEORG FORSTER - M36/M36,CMA CGM GEORG FORSTER,FAL3,ARRIVED,2021-09-14 11:59:00,2021-09-14 17:45:00,SCT2,Starboard,2021-09-17 19:30:00,"Rotterdam, Netherlands",M36/M36,2021-09-05 00:00:00,596,346.0
CMA CGM GEORG FORSTER - N32/N32,CMA CGM GEORG FORSTER,NEU4E,ARRIVED,2020-08-12 07:30:00,2020-08-12 21:15:00,SCT5,Starboard,2020-08-13 12:00:00,"Le Havre, France",N32/N32,2020-07-25 00:00:00,3672,825.0
CMA CGM ISKENDERUN - A31/A31,CMA CGM ISKENDERUN,LEVANT,ARRIVED,2021-09-06 23:59:00,2021-09-08 10:38:00,SCT3,Starboard,2021-09-07 23:59:00,"Le Havre, France",A31/A31,2021-08-25 00:00:00,3850,2079.0
CMA CGM JACQUES SAADE - M42/M42,CMA CGM JACQUES SAADE,NEU4I,ARRIVED,2020-10-31 19:30:00,2020-11-04 15:05:00,SCT5,Starboard,2020-11-02 19:30:00,"Dunkerque, France",M42/M42,2020-10-15 00:00:00,2275,5495.0
CMA CGM JACQUES SAADE - N05/N05,CMA CGM JACQUES SAADE,NEU4E,ARRIVED,2021-01-29 07:30:00,2021-02-03 17:00:00,SCT5,Starboard,2021-01-30 19:30:00,"Le Havre, France",N05/N05,2021-01-15 00:00:00,1627,7770.0
CMA CGM JACQUES SAADE - N45/N45,CMA CGM JACQUES SAADE,NEU4E,ARRIVED,2020-11-14 23:59:00,2020-11-17 14:08:00,SCT5,Starboard,2020-11-16 04:00:00,"Le Havre, France",N45/N45,2020-10-30 00:00:00,4797,3729.0
CMA CGM JEAN MERMOZ - M32/M32,CMA CGM JEAN MERMOZ,NEU4I,ARRIVED,2020-08-22 19:00:00,2020-08-24 06:15:00,SCT5,Starboard,2020-08-24 19:00:00,"Dunkerque, France",M32/M32,2020-08-10 00:00:00,1310,2115.0
CMA CGM JEAN MERMOZ - M44/M44,CMA CGM JEAN MERMOZ,NEU4I,ARRIVED,2020-11-16 07:30:00,2020-11-19 18:02:00,SCT5,Starboard,2020-11-18 07:30:00,"Dunkerque, France",M44/M44,2020-11-05 00:00:00,801,4952.0
CMA CGM JEAN MERMOZ - N35/N35,CMA CGM JEAN MERMOZ,NEU4E,ARRIVED,2020-09-02 16:00:00,2020-09-04 16:35:00,SCT5,Starboard,2020-09-03 19:30:00,"Le Havre, France",N35/N35,2020-08-20 00:00:00,2950,2915.0
CMA CGM JULES VERNE - M25/M25,CMA CGM JULES VERNE,NEU4I,ARRIVED,2020-07-04 22:15:00,2020-07-04 23:59:00,SCT5,Starboard,2020-07-06 11:59:00,"Dunkerque, France",M25/M25,2020-07-04 00:00:00,23,104.0
CMA CGM JULES VERNE - M37/M37,CMA CGM JULES VERNE,NEU4I,ARRIVED,2020-09-27 11:59:00,2020-09-29 12:29:00,SCT5,Starboard,2020-09-29 19:30:00,"Dunkerque, France",M37/M37,2020-09-15 00:00:00,2174,2910.0
CMA CGM JULES VERNE - N01/N01,CMA CGM JULES VERNE,NEU4E,ARRIVED,2021-01-01 07:00:00,2021-01-08 12:28:00,SCT5,Starboard,2021-01-02 19:00:00,"Le Havre, France",N01/N01,2020-12-20 00:00:00,3289,10408.0
CMA CGM JULES VERNE - N28/N28,CMA CGM JULES VERNE,NEU4E,ARRIVED,2020-07-15 19:00:00,2020-07-15 22:46:00,SCT5,Starboard,2020-07-16 23:59:00,"Le Havre, France",N28/N28,2020-07-04 00:00:00,21,226.0
CMA CGM JULES VERNE - N40/N40,CMA CGM JULES VERNE,NEU4E,ARRIVED,2020-10-07 16:00:00,2020-10-11 22:24:00,SCT3,Starboard,2020-10-08 19:30:00,"Le Havre, France",N40/N40,2020-09-25 00:00:00,3915,6144.0
CMA CGM KERGUELEN - M37/M37,CMA CGM KERGUELEN,FAL3,ARRIVED,2021-09-19 07:30:00,2021-09-22 00:05:00,SCT2,Starboard,2021-09-22 07:30:00,"Rotterdam, Netherlands",M37/M37,2021-09-05 00:00:00,624,3875.0
CMA CGM KERGUELEN - N50/N50,CMA CGM KERGUELEN,NEU4E,ARRIVED,2020-12-16 16:00:00,2020-12-19 02:00:00,SCT5,Starboard,2020-12-17 19:30:00,"Le Havre, France",N50/N50,2020-11-15 00:00:00,2381,3480.0
CMA CGM KERGUELEN - X53/X53,CMA CGM KERGUELEN,ADHOC,ARRIVED,2020-12-27 19:00:00,2020-12-29 13:30:00,SCT5,Starboard,2020-12-30 07:00:00,"OPTIONAL,",X53/X53,2020-12-25 00:00:00,4139,2550.0
CMA CGM LOUIS BLERIOT - M28/M28,CMA CGM LOUIS BLERIOT,NEU4I,ARRIVED,2020-07-25 19:00:00,2020-07-25 18:15:00,SCT5,Starboard,2020-07-27 19:00:00,"Dunkerque, France",M28/M28,2020-07-15 00:00:00,1966,-45.0
CMA CGM LOUIS BLERIOT - M40/M40,CMA CGM LOUIS BLERIOT,NEU4I,ARRIVED,2020-10-18 19:30:00,2020-10-19 02:19:00,SCT5,Starboard,2020-10-20 19:30:00,"Dunkerque, France",M40/M40,2020-10-05 00:00:00,639,409.0
CMA CGM LOUIS BLERIOT - N04/N04,CMA CGM LOUIS BLERIOT,NEU4E,ARRIVED,2021-01-23 23:59:00,2021-01-23 19:47:00,SCT5,Starboard,2021-01-25 23:59:00,"Le Havre, France",N04/N04,2021-01-10 00:00:00,860,-252.0
CMA CGM LOUIS BLERIOT - N31/N31,CMA CGM LOUIS BLERIOT,NEU4E,ARRIVED,2020-08-05 07:30:00,2020-08-05 11:17:00,SCT5,Starboard,2020-08-06 12:00:00,"Le Havre, France",N31/N31,2020-07-25 00:00:00,3684,227.0
CMA CGM LOUIS BLERIOT - N43/N43,CMA CGM LOUIS BLERIOT,NEU4E,ARRIVED,2020-10-28 16:00:00,2020-10-30 20:07:00,SCT5,Starboard,2020-10-29 19:30:00,"Le Havre, France",N43/N43,2020-10-15 00:00:00,2277,3127.0
CMA CGM MARCO POLO - M34/M34,CMA CGM MARCO POLO,NEU4I,ARRIVED,2020-09-05 19:00:00,2020-09-06 17:15:00,SCT5,Starboard,2020-09-07 19:00:00,"Dunkerque, France",M34/M34,2020-08-25 00:00:00,3826,1335.0
CMA CGM MARCO POLO - N37/N37,CMA CGM MARCO POLO,NEU4E,ARRIVED,2020-09-16 23:59:00,2020-09-17 09:20:00,SCT5,Starboard,2020-09-18 14:00:00,"Le Havre, France",N37/N37,2020-09-05 00:00:00,569,561.0
CMA CGM MEXICO - M30/M30,CMA CGM MEXICO,NEU4I,ARRIVED,2020-08-08 19:00:00,2020-08-09 18:30:00,SCT5,Starboard,2020-08-10 19:00:00,"Dunkerque, France",M30/M30,2020-07-25 00:00:00,3690,1410.0
CMA CGM MEXICO - N33/N33,CMA CGM MEXICO,NEU4E,ARRIVED,2020-08-19 07:30:00,2020-08-19 11:30:00,SCT5,Starboard,2020-08-20 12:00:00,"Le Havre, France",N33/N33,2020-08-05 00:00:00,468,240.0
CMA CGM NERVAL - B02/B02,CMA CGM NERVAL,FEMEX,ARRIVED,2021-01-26 19:30:00,2021-02-03 07:39:00,SCT3,Starboard,2021-01-27 07:30:00,"Rotterdam, Netherlands",B02/B02,2021-01-15 00:00:00,1649,10809.0
CMA CGM OTELLO - J02/J02,CMA CGM OTELLO,EPIC,ARRIVED,2021-02-16 19:00:00,2021-02-17 01:30:00,SCT3,Starboard,2021-02-17 12:00:00,"Bremerhaven, Germany",J02/J02,2021-02-05 00:00:00,117,390.0
CMA CGM OTELLO - J09/J09,CMA CGM OTELLO,EPIC,ARRIVED,2021-04-13 11:59:00,2021-04-15 01:20:00,SCT3,Starboard,2021-04-14 07:30:00,"Bremerhaven, Germany",J09/J09,2021-03-31 00:00:00,5003,2241.0
CMA CGM OTELLO - J18/J18,CMA CGM OTELLO,EPIC,ARRIVED,2021-06-15 13:00:00,2021-06-15 12:40:00,SCT3,Starboard,2021-06-16 07:30:00,"Bremerhaven, Germany",J18/J18,2021-05-30 00:00:00,4403,-20.0
CMA CGM OTELLO - T26/U26,CMA CGM OTELLO,ATA,ARRIVED,2020-07-11 07:30:00,2020-07-11 07:11:00,SCT2,Starboard,2020-07-11 23:00:00,"Antwerpen, Belgium",T26/U26,2020-07-04 00:00:00,11,-19.0
CMA CGM SCANDOLA - M04/M04,CMA CGM SCANDOLA,FAL3,ARRIVED,2021-01-21 19:30:00,2021-01-30 12:10:00,SCT5,Starboard,2021-01-23 19:30:00,"Rotterdam, Netherlands",M04/M04,2021-01-10 00:00:00,894,12520.0
CMA CGM TENERE - M15/M15,CMA CGM TENERE,FAL3,ARRIVED,2021-04-14 19:00:00,2021-04-16 18:00:00,SCT2,Starboard,2021-04-17 19:00:00,"Rotterdam, Netherlands",M15/M15,2021-03-31 00:00:00,4993,2820.0
CMA CGM TENERE - M41/M41,CMA CGM TENERE,NEU4I,ARRIVED,2020-10-25 23:59:00,2020-10-30 01:14:00,SCT5,Starboard,2020-10-28 07:30:00,"Dunkerque, France",M41/M41,2020-10-15 00:00:00,2265,5835.0
CMA CGM TENERE - N06/N06,CMA CGM TENERE,NEU4E,ARRIVED,2021-02-05 07:00:00,2021-02-13 04:55:00,SCT5,Starboard,2021-02-06 19:00:00,"Le Havre, France",N06/N06,2021-01-20 00:00:00,2479,11395.0
CMA CGM TENERE - N44/N44,CMA CGM TENERE,NEU4E,ARRIVED,2020-11-04 16:00:00,2020-11-11 21:15:00,SCT5,Starboard,2020-11-05 19:00:00,"Le Havre, France",N44/N44,2020-10-20 00:00:00,3185,10395.0
CMA CGM TOSCA - T10/U10,CMA CGM TOSCA,ATA,ARRIVED,2021-04-03 07:30:00,2021-04-08 23:00:00,SCT3,Starboard,2021-04-03 19:30:00,"Antwerpen, Belgium",T10/U10,2021-03-20 00:00:00,2613,8130.0
CMA CGM TOSCA - T25/U25,CMA CGM TOSCA,ATA,ARRIVED,2021-07-31 07:30:00,2021-08-01 22:10:00,SCT2,Starboard,2021-07-31 19:30:00,"Antwerpen, Belgium",T25/U25,2021-07-20 00:00:00,2890,2320.0
CMA CGM TOSCA - T30/U30,CMA CGM TOSCA,ATA,ARRIVED,2021-09-10 11:59:00,2021-09-22 15:00:00,SCT3,Starboard,2021-09-11 07:30:00,"Antwerpen, Belgium",T30/U30,2021-08-25 00:00:00,3862,17461.0
CMA CGM TOSCA - T31/U31,CMA CGM TOSCA,ATA,ARRIVED,2020-08-15 07:30:00,2020-08-16 05:12:00,SCT2,Starboard,2020-08-15 23:00:00,"Antwerpen, Belgium",T31/U31,2020-08-05 00:00:00,477,1302.0
CMA CGM TOSCA - T46/U46,CMA CGM TOSCA,ATA,ARRIVED,2020-11-28 07:30:00,2020-12-06 03:08:00,SCT3,Starboard,2020-11-28 23:00:00,"Antwerpen, Belgium",T46/U46,2020-11-15 00:00:00,2417,11258.0
CMA CGM VASCO DE GAMA - M11/M11,CMA CGM VASCO DE GAMA,FAL3,ARRIVED,2021-03-19 11:59:00,2021-03-18 05:03:00,SCT2,Starboard,2021-03-22 04:00:00,"Rotterdam, Netherlands",M11/M11,2021-03-05 00:00:00,182,-1856.0
CMA CGM VASCO DE GAMA - M23/M23,CMA CGM VASCO DE GAMA,FAL3,ARRIVED,2021-06-12 07:30:00,2021-06-12 01:35:00,SCT2,Starboard,2021-06-15 07:30:00,"Rotterdam, Netherlands",M23/M23,2021-05-30 00:00:00,4394,-355.0
CMA CGM VASCO DE GAMA - M35/M35,CMA CGM VASCO DE GAMA,FAL3,ARRIVED,2021-09-06 19:30:00,2021-09-09 01:39:00,SCT2,Starboard,2021-09-09 19:30:00,"Rotterdam, Netherlands",M35/M35,2021-08-25 00:00:00,3848,3249.0
CMA CGM VASCO DE GAMA - M49/M49,CMA CGM VASCO DE GAMA,NEU3,ARRIVED,2020-12-20 07:00:00,2021-01-01 13:02:00,SCT5,Starboard,2020-12-22 07:00:00,"Hamburg, Germany",M49/M49,2020-11-15 00:00:00,2377,17642.0
CMA CGM WHITE SHARK - A01/A01,CMA CGM WHITE SHARK,LEVANT,ARRIVED,2021-01-08 19:30:00,2021-01-07 15:10:00,SCT2,Starboard,2021-01-09 07:30:00,"Rotterdam, Netherlands",A01/A01,2020-12-25 00:00:00,4148,-1700.0
CMA CGM WHITE SHARK - A05/A05,CMA CGM WHITE SHARK,LEVANT,ARRIVED,2021-02-13 07:30:00,2021-02-14 08:40:00,SCT3,Starboard,2021-02-13 19:30:00,"Rotterdam, Netherlands",A05/A05,2021-02-05 00:00:00,103,1510.0
CMA CGM WHITE SHARK - A11/A11,CMA CGM WHITE SHARK,LEVANT,ARRIVED,2021-03-19 23:59:00,2021-03-20 19:45:00,SCT3,Starboard,2021-03-20 19:30:00,"Rotterdam, Netherlands",A11/A11,2021-03-05 00:00:00,184,1186.0
CMA CGM WHITE SHARK - A16/A16,CMA CGM WHITE SHARK,LEVANT,ARRIVED,2021-04-28 19:30:00,2021-04-30 19:50:00,SCT3,Starboard,2021-04-29 07:30:00,"Rotterdam, Netherlands",A16/A16,2021-04-15 00:00:00,1808,2900.0
CMA CGM WHITE SHARK - A21/A21,CMA CGM WHITE SHARK,LEVANT,ARRIVED,2021-06-03 19:30:00,2021-06-03 18:55:00,SCT2,Starboard,2021-06-04 07:30:00,"Rotterdam, Netherlands",A21/A21,2021-05-25 00:00:00,3556,-35.0
CMA CGM WHITE SHARK - A25/A25,CMA CGM WHITE SHARK,LEVANT,ARRIVED,2021-07-09 22:00:00,2021-07-10 14:20:00,SCT2,Starboard,2021-07-10 04:00:00,"Rotterdam, Netherlands",A25/A25,2021-06-25 00:00:00,3614,980.0
CMA CGM ZHENG HE - M01/M01,CMA CGM ZHENG HE,NEU3,ARRIVED,2021-01-03 07:00:00,2021-01-14 15:00:00,SCT5,Starboard,2021-01-05 07:00:00,"Rotterdam, Netherlands",M01/M01,2020-12-20 00:00:00,3285,16320.0
CMA CGM ZHENG HE - M13/M13,CMA CGM ZHENG HE,FAL3,ARRIVED,2021-03-31 19:00:00,2021-04-01 04:00:00,SCT2,Starboard,2021-04-03 19:00:00,"Rotterdam, Netherlands",M13/M13,2021-03-20 00:00:00,2623,540.0
CMA CGM ZHENG HE - M27/M27,CMA CGM ZHENG HE,NEU4I,ARRIVED,2020-07-18 19:00:00,2020-07-19 00:10:00,SCT5,Starboard,2020-07-20 19:00:00,"Dunkerque, France",M27/M27,2020-07-10 00:00:00,1190,310.0
CMA CGM ZHENG HE - M39/M39,CMA CGM ZHENG HE,NEU4I,ARRIVED,2020-10-10 19:00:00,2020-10-14 14:12:00,SCT5,Starboard,2020-10-12 19:00:00,"Dunkerque, France",M39/M39,2020-09-25 00:00:00,3953,5472.0
CMA CGM ZHENG HE - N30/N30,CMA CGM ZHENG HE,NEU4E,ARRIVED,2020-07-29 07:30:00,2020-07-29 06:47:00,SCT5,Starboard,2020-07-30 12:00:00,"Le Havre, France",N30/N30,2020-07-15 00:00:00,1973,-43.0
CMA CGM ZHENG HE - N42/N42,CMA CGM ZHENG HE,NEU4E,ARRIVED,2020-10-21 16:00:00,2020-10-22 12:05:00,SCT5,Starboard,2020-10-22 19:00:00,"Le Havre, France",N42/N42,2020-10-10 00:00:00,1504,1205.0
CONMAR GULF - X27/X27,CONMAR GULF,ADHOC,ARRIVED,2020-08-13 07:00:00,2020-08-14 06:00:00,SCT4,Starboard,2020-08-14 07:00:00,"Liverpool, United Kingdom",X27/X27,2020-08-10 00:00:00,1283,1380.0
CONSTANTIA - O22/O22,CONSTANTIA,AL2,ARRIVED,2021-06-04 16:00:00,2021-06-04 06:30:00,SCT3,Starboard,2021-06-05 07:30:00,"Rotterdam, Netherlands",O22/O22,2021-05-25 00:00:00,3555,-570.0
CONTI CORTESIA - R23/S23,CONTI CORTESIA,IPAK,ARRIVED,2021-06-07 19:30:00,2021-06-11 12:50:00,SCT2,Starboard,2021-06-08 07:30:00,"Rotterdam, Netherlands",R23/S23,2021-05-25 00:00:00,3564,5360.0
COSCO INDONESIA - X12/X12,COSCO INDONESIA,ADHOC,ARRIVED,2021-05-16 19:30:00,2021-05-17 02:52:00,SCT3,Starboard,2021-05-17 15:00:00,"OPTIONAL,",X12/X12,2021-05-15 00:00:00,1839,442.0
COSCO JAPAN - J17/J17,COSCO JAPAN,EPIC,ARRIVED,2021-06-08 13:00:00,2021-06-10 15:10:00,SCT3,Starboard,2021-06-09 07:30:00,"Bremerhaven, Germany",J17/J17,2021-05-30 00:00:00,4385,3010.0
COSCO JAPAN - J25/J25,COSCO JAPAN,EPIC,ARRIVED,2021-08-03 13:00:00,2021-08-04 18:00:00,SCT3,Starboard,2021-08-04 07:30:00,"Bremerhaven, Germany",J25/J25,2021-07-20 00:00:00,2897,1740.0
COSCO PHILIPPINES - T03/U03,COSCO PHILIPPINES,ATA,ARRIVED,2021-02-06 07:30:00,2021-02-08 14:40:00,SCT3,Starboard,2021-02-06 23:00:00,"Antwerpen, Belgium",T03/U03,2021-01-25 00:00:00,3343,3310.0
COSCO PHILIPPINES - T08/U08,COSCO PHILIPPINES,ATA,ARRIVED,2021-02-15 07:30:00,2021-03-29 01:00:00,SCT3,Starboard,2021-02-15 19:30:00,"Antwerpen, Belgium",T08/U08,2021-02-10 00:00:00,939,60090.0
COSCO PHILIPPINES - T12/U12,COSCO PHILIPPINES,ATA,ARRIVED,2021-04-27 07:30:00,2021-05-11 21:06:00,SCT3,Starboard,2021-04-28 04:00:00,"Antwerpen, Belgium",T12/U12,2021-04-15 00:00:00,1800,20976.0
COSCO PHILIPPINES - T17/U17,COSCO PHILIPPINES,ATA,ARRIVED,2021-06-04 11:59:00,2021-06-09 19:00:00,SCT2,Starboard,2021-06-05 07:30:00,"Antwerpen, Belgium",T17/U17,2021-05-25 00:00:00,3559,7621.0
COSCO PHILIPPINES - T27/U27,COSCO PHILIPPINES,ATA,ARRIVED,2021-08-21 07:30:00,2021-08-27 02:30:00,SCT2,Starboard,2021-08-21 19:30:00,"Antwerpen, Belgium",T27/U27,2021-08-10 00:00:00,1325,8340.0
COSCO PHILIPPINES - T29/U29,COSCO PHILIPPINES,ATA,ARRIVED,2020-08-01 07:30:00,2020-08-01 05:03:00,SCT2,Starboard,2020-08-01 23:00:00,"Antwerpen, Belgium",T29/U29,2020-07-20 00:00:00,2848,-147.0
COSCO PHILIPPINES - T34/U34,COSCO PHILIPPINES,ATA,ARRIVED,2020-09-05 07:30:00,2020-09-05 05:45:00,SCT3,Starboard,2020-09-05 23:00:00,"Antwerpen, Belgium",T34/U34,2020-08-25 00:00:00,3827,-105.0
COSCO PHILIPPINES - T39/U39,COSCO PHILIPPINES,ATA,ARRIVED,2020-10-10 07:30:00,2020-10-09 22:22:00,SCT2,Starboard,2020-10-10 23:00:00,"Antwerpen, Belgium",T39/U39,2020-09-25 00:00:00,3950,-548.0
COSCO PHILIPPINES - T49/U49,COSCO PHILIPPINES,ATA,ARRIVED,2020-12-19 07:30:00,2020-12-27 16:00:00,SCT3,Starboard,2020-12-19 23:00:00,"Antwerpen, Belgium",T49/U49,2020-11-15 00:00:00,2379,12030.0
COSCO VIETNAM - T01/U01,COSCO VIETNAM,ATA,ARRIVED,2021-01-30 19:30:00,2021-01-30 07:30:00,SCT3,Starboard,2021-01-31 07:30:00,"Antwerpen, Belgium",T01/U01,2021-01-20 00:00:00,2491,-720.0
COSCO VIETNAM - T27/U27,COSCO VIETNAM,ATA,ARRIVED,2020-07-18 07:30:00,2020-07-18 05:30:00,SCT2,Starboard,2020-07-18 23:00:00,"Antwerpen, Belgium",T27/U27,2020-07-10 00:00:00,1198,-120.0
COSCO VIETNAM - T32/U32,COSCO VIETNAM,ATA,ARRIVED,2020-08-22 07:30:00,2020-08-22 07:30:00,SCT2,Starboard,2020-08-22 23:00:00,"Antwerpen, Belgium",T32/U32,2020-08-10 00:00:00,1316,0.0
COSCO VIETNAM - T37/U37,COSCO VIETNAM,ATA,ARRIVED,2020-09-26 07:30:00,2020-09-26 08:10:00,SCT3,Starboard,2020-09-26 23:00:00,"Antwerpen, Belgium",T37/U37,2020-09-15 00:00:00,2172,40.0
COSCO VIETNAM - T42/U42,COSCO VIETNAM,ATA,ARRIVED,2020-10-31 07:30:00,2020-11-07 01:06:00,SCT2,Starboard,2020-10-31 23:00:00,"Antwerpen, Belgium",T42/U42,2020-10-15 00:00:00,2284,9696.0
COSCO VIETNAM - T47/U47,COSCO VIETNAM,ATA,ARRIVED,2020-12-05 07:30:00,2020-12-13 16:22:00,SCT3,Starboard,2020-12-05 23:00:00,"Antwerpen, Belgium",T47/U47,2020-11-15 00:00:00,2400,12052.0
CSL MANHATTAN - E04/F04,CSL MANHATTAN,FE4,ARRIVED,2021-02-14 11:59:00,2021-02-26 07:30:00,SCT5,Starboard,2021-02-15 19:30:00,"Hamburg, Germany",E04/F04,2021-01-30 00:00:00,4245,17011.0
E.R.LOS ANGELES - J07/J07,E.R.LOS ANGELES,EPIC,ARRIVED,2021-03-30 15:00:00,2021-04-10 16:50:00,SCT2,Starboard,2021-03-31 07:00:00,"Bremerhaven, Germany",J07/J07,2021-03-15 00:00:00,1742,15950.0
ELBSKY - X29/X29,ELBSKY,ADHOC,ARRIVED,2021-08-22 10:00:00,2021-08-22 11:30:00,SCT2,Starboard,2021-08-22 19:30:00,"OPTIONAL,",X29/X29,2021-08-20 00:00:00,2987,90.0
ESPOIR - X04/X04,ESPOIR,ADHOC,ARRIVED,2021-01-25 23:59:00,2021-01-25 17:00:00,SCT1,Starboard,2021-01-27 07:00:00,"OPTIONAL,",X04/X04,2021-01-25 00:00:00,3322,-419.0
ESSENCE - X36/X36,ESSENCE,ADHOC,ARRIVED,2020-09-20 07:30:00,2020-09-20 08:38:00,SCT3,Starboard,2020-09-20 19:30:00,"Zeebrugge, Belgium",X36/X36,2020-09-20 00:00:00,3074,68.0
EVER LASTING - T14/U14,EVER LASTING,ATA,ARRIVED,2021-05-08 11:59:00,2021-05-08 10:26:00,SCT3,Starboard,2021-05-09 04:00:00,"Antwerpen, Belgium",T14/U14,2021-04-25 00:00:00,3536,-93.0
EVER LASTING - T19/U19,EVER LASTING,ATA,ARRIVED,2021-06-09 19:30:00,2021-06-18 12:19:00,SCT3,Starboard,2021-06-10 07:30:00,"Antwerpen, Belgium",T19/U19,2021-05-30 00:00:00,4401,12529.0
EVER LASTING - T29/U29,EVER LASTING,ATA,ARRIVED,2021-08-28 07:30:00,2021-09-08 19:44:00,SCT2,Starboard,2021-08-28 19:30:00,"Antwerpen, Belgium",T29/U29,2021-08-15 00:00:00,2140,16574.0
EVER LASTING - T30/U30,EVER LASTING,ATA,ARRIVED,2020-08-08 07:30:00,2020-08-07 12:39:00,SCT2,Starboard,2020-08-08 23:00:00,"Antwerpen, Belgium",T30/U30,2020-07-25 00:00:00,3688,-1131.0
EVER LASTING - T35/U35,EVER LASTING,ATA,ARRIVED,2020-09-12 07:31:00,2020-09-12 11:00:00,SCT3,Starboard,2020-09-12 23:00:00,"Antwerpen, Belgium",T35/U35,2020-08-30 00:00:00,4581,209.0
EVER LASTING - T40/U40,EVER LASTING,ATA,ARRIVED,2020-10-17 07:30:00,2020-10-17 06:30:00,SCT3,Starboard,2020-10-17 23:00:00,"Antwerpen, Belgium",T40/U40,2020-10-05 00:00:00,672,-60.0
EVER LASTING - T45/U45,EVER LASTING,ATA,ARRIVED,2020-11-24 07:30:00,2020-11-26 17:00:00,SCT2,Starboard,2020-11-24 23:00:00,"Antwerpen, Belgium",T45/U45,2020-11-10 00:00:00,1548,3450.0
EVER LASTING - T50/U50,EVER LASTING,ATA,ARRIVED,2020-12-26 07:30:00,2021-01-12 21:05:00,SCT3,Starboard,2020-12-26 23:00:00,"Antwerpen, Belgium",T50/U50,2020-11-15 00:00:00,2368,25295.0
EXPRESS BERLIN - E24/F24,EXPRESS BERLIN,FE4,ARRIVED,2020-10-10 19:30:00,2020-10-20 14:30:00,SCT2,Starboard,2020-10-11 19:30:00,"Hamburg, Germany",E24/F24,2020-09-25 00:00:00,3951,14100.0
GERHARD SCHULTE - V37/W37,GERHARD SCHULTE,GEX2,ARRIVED,2020-09-29 07:00:00,2020-09-29 21:46:00,SCT3,Starboard,2020-09-29 19:00:00,"Antwerpen, Belgium",V37/W37,2020-09-20 00:00:00,3060,886.0
GERHARD SCHULTE - V41/W41,GERHARD SCHULTE,GEX2,ARRIVED,2020-10-27 07:00:00,2020-10-27 11:58:00,SCT3,Starboard,2020-10-27 19:00:00,"Antwerpen, Belgium",V41/W41,2020-10-15 00:00:00,2274,298.0
GERHARD SCHULTE - X50/X50,GERHARD SCHULTE,ADHOC,ARRIVED,2020-12-09 07:30:00,2020-12-08 16:00:00,SCT2,Starboard,2020-12-10 07:30:00,"OPTIONAL,",X50/X50,2020-11-25 00:00:00,4096,-930.0
GREETJE - 27C/27C,GREETJE,ISX4,ARRIVED,2020-07-07 19:30:00,2020-07-07 19:42:00,SCT3,Starboard,2020-07-08 07:30:00,"Cork, Ireland",27C/27C,2020-07-04 00:00:00,6,12.0
GREETJE - 28C/28C,GREETJE,ISX4,ARRIVED,2020-07-14 14:00:00,2020-07-15 22:28:00,SCT3,Starboard,2020-07-15 07:30:00,"Cork, Ireland",28C/28C,2020-07-04 00:00:00,18,1948.0
