Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side,NextPort,Delay,Size,Dwt,GT,Flag,Built_Year,Built_Month,Builder,Owner,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info,ETA_Year,ETA_Month,ETA_Day,ETA_Weekday,ETA_Hour,date,new_cases
APL NEW YORK - J01/J01,apl new york,EPIC,2021-06,2021-02-22 03:30:00,SCT3,Starboard,Bremerhaven,17790.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,16.0,2021,2,9,1,19,2021-06,92743.0
APL NEW YORK - J16/J16,apl new york,EPIC,2021-22,2021-06-01 13:20:00,SCT3,Starboard,Bremerhaven,-1240.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,13.0,2021,6,2,2,10,2021-22,32865.0
APL NEW YORK - J24/J24,apl new york,EPIC,2021-30,2021-07-27 12:32:00,SCT2,Starboard,Bremerhaven,-28.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,13.0,2021,7,27,1,13,2021-30,184195.0
APL NEW YORK - J32/J32,apl new york,EPIC,2021-39,2021-09-28 19:40:00,SCT3,Starboard,Bremerhaven,400.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,14.0,2021,9,28,1,13,2021-39,237452.0
APL NEW YORK - R34/S34,apl new york,EPIC1,2020-34,2020-08-26 18:30:00,SCT2,Starboard,Rotterdam,2820.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,15.0,2020,8,24,0,19,2020-34,9025.0
APL NEW YORK - R42/S42,apl new york,EPIC1,2020-42,2020-10-19 20:50:00,SCT3,Starboard,Rotterdam,109.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,15.0,2020,10,19,0,19,2020-42,151548.0
APL NEW YORK - R50/S50,apl new york,EPIC1,2020-50,2020-12-14 20:50:00,SCT3,Starboard,Rotterdam,110.0,9200,108550,109712,Singapore,2013,4,Daewoo (DSME),Atlas Corp (Seaspan),0,0,1,30.0,2020,12,14,0,19,2020-50,191671.0
APL RAFFLES - M26/M26,apl raffles,NEU4I,2020-28,2020-07-14 07:47:00,SCT5,Starboard,Dunkerque,767.0,17292,177380,166253,Singapore,2013,5,Hyundai Samho HI,CMA CGM,0,1,1,10.0,2020,7,13,0,19,2020-28,5204.0
APL RAFFLES - M38/M38,apl raffles,NEU4I,2020-39,2020-10-10 19:00:00,SCT5,Starboard,Dunkerque,10080.0,17292,177380,166253,Singapore,2013,5,Hyundai Samho HI,CMA CGM,0,1,1,14.0,2020,10,3,5,19,2020-39,68102.0
APL RAFFLES - N02/N02,apl raffles,NEU4E,2021-01,2021-01-11 14:25:00,SCT3,Starboard,Le Havre,4735.0,17292,177380,166253,Singapore,2013,5,Hyundai Samho HI,CMA CGM,0,1,1,14.0,2021,1,8,4,7,2021-01,418669.0
APL RAFFLES - N29/N29,apl raffles,NEU4E,2020-29,2020-07-24 02:13:00,SCT2,Starboard,Le Havre,433.0,17292,177380,166253,Singapore,2013,5,Hyundai Samho HI,CMA CGM,0,1,1,9.0,2020,7,23,3,19,2020-29,4662.0
APL SINGAPURA - M10/M10,apl singapura,FAL3,2021-10,2021-03-15 16:16:00,SCT2,Starboard,Rotterdam,1246.0,17292,177408,167659,Singapore,2013,9,Hyundai Samho HI,CMA CGM,0,1,1,15.0,2021,3,14,6,19,2021-10,40544.0
APL SINGAPURA - M22/M22,apl singapura,FAL3,2021-23,2021-06-05 23:30:00,SCT2,Starboard,Rotterdam,-4349.0,17292,177408,167659,Singapore,2013,9,Hyundai Samho HI,CMA CGM,0,1,1,10.0,2021,6,8,1,23,2021-23,48977.0
APL SINGAPURA - M33/M33,apl singapura,FAL3,2021-34,2021-09-03 00:20:00,SCT2,Starboard,Rotterdam,13460.0,17292,177408,167659,Singapore,2013,9,Hyundai Samho HI,CMA CGM,0,1,1,15.0,2021,8,24,1,16,2021-34,239341.0
APL SINGAPURA - M48/M48,apl singapura,NEU3,2020-49,2020-12-14 14:28:00,SCT5,Starboard,Hamburg,1888.0,17292,177408,167659,Singapore,2013,9,Hyundai Samho HI,CMA CGM,0,1,1,28.0,2020,12,13,6,7,2020-49,126739.0
APL TEMASEK - M06/M06,apl temasek,FAL3,2021-05,2021-02-15 14:15:00,SCT5,Starboard,Rotterdam,11955.0,17292,177380,166253,Singapore,2013,3,Hyundai Samho HI,CMA CGM,0,1,1,13.0,2021,2,7,6,7,2021-05,128994.0
APL VANDA - M09/M09,apl vanda,FAL3,2021-09,2021-03-06 20:00:00,SCT2,Starboard,Rotterdam,2190.0,17292,177380,166253,Singapore,2013,7,Hyundai Samho HI,CMA CGM,0,1,1,13.0,2021,3,5,4,7,2021-09,42339.0
APL VANDA - M21/M21,apl vanda,FAL3,2021-21,2021-06-08 07:58:00,SCT2,Starboard,Rotterdam,11999.0,17292,177380,166253,Singapore,2013,7,Hyundai Samho HI,CMA CGM,0,1,1,16.0,2021,5,30,6,23,2021-21,21547.0
APL VANDA - M32/M32,apl vanda,FAL3,2021-32,2021-08-13 18:35:00,SCT2,Starboard,Rotterdam,1116.0,17292,177380,166253,Singapore,2013,7,Hyundai Samho HI,CMA CGM,0,1,1,14.0,2021,8,12,3,23,2021-32,199040.0
APL VANDA - M35/M35,apl vanda,NEU4I,2020-37,2020-09-14 23:59:00,SCT5,Starboard,Dunkerque,269.0,17292,177380,166253,Singapore,2013,7,Hyundai Samho HI,CMA CGM,0,1,1,16.0,2020,9,14,0,19,2020-37,25814.0
APL VANDA - N38/N38,apl vanda,NEU4E,2020-38,2020-09-25 03:30:00,SCT2,Starboard,Le Havre,1651.0,17292,177380,166253,Singapore,2013,7,Hyundai Samho HI,CMA CGM,0,1,1,14.0,2020,9,23,2,23,2020-38,40773.0
ARGOLIKOS - A03/A03,argolikos,LEVANT,2021-03,2021-01-23 06:05:00,SCT3,Starboard,Rotterdam,635.0,4360,51400,40560,Liberia,2008,7,HHIC-Phil (Subic SY),Dioryx Maritime Corp,0,0,0,13.0,2021,1,22,4,19,2021-03,252117.0
ARGOLIKOS - A08/A08,argolikos,LEVANT,2021-08,2021-02-28 17:45:00,SCT3,Starboard,Rotterdam,2775.0,4360,51400,40560,Liberia,2008,7,HHIC-Phil (Subic SY),Dioryx Maritime Corp,0,0,0,12.0,2021,2,26,4,19,2021-08,61249.0
ATHENS GLORY - R39/S39,athens glory,IPAK,2021-39,2021-09-30 23:40:00,SCT2,Starboard,Rotterdam,1690.0,6492,80270,76199,Cyprus,2003,6,I.H.I. (Kure),Cyprus Sea Lines,0,0,0,15.0,2021,9,29,2,19,2021-39,237452.0
AURORA - 01B/01B,aurora,ISX3,2021-01,2021-01-10 17:25:00,SCT1,Starboard,Belfast,7825.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,16.0,2021,1,5,1,7,2021-01,418669.0
AURORA - 02B/02B,aurora,ISX3B,2021-02,2021-01-19 09:35:00,SCT1,Starboard,Liverpool,3005.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,12.0,2021,1,17,6,7,2021-02,324372.0
AURORA - 03B/03B,aurora,ISX3B,2021-03,2021-01-29 22:27:00,SCT1,Starboard,Liverpool,8097.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,14.0,2021,1,24,6,7,2021-03,252117.0
AURORA - 04B/04B,aurora,ISX3,2021-05,2021-02-08 07:00:00,SCT1,Starboard,Belfast,4741.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,11.0,2021,2,4,3,23,2021-05,128994.0
AURORA - 05B/05B,aurora,ISX3B,2021-06,2021-02-22 08:35:00,SCT1,Starboard,Liverpool,17345.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,11.0,2021,2,10,2,7,2021-06,92743.0
AURORA - 06B/06B,aurora,ISX3B,2021-07,2021-03-06 06:00:00,SCT1,Starboard,Liverpool,24390.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,12.0,2021,2,17,2,7,2021-07,77654.0
AURORA - 07B/07B,aurora,ISX3B,2021-08,2021-03-17 04:00:00,SCT1,Starboard,Liverpool,24270.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,13.0,2021,2,28,6,7,2021-08,61249.0
AURORA - 08B/08B,aurora,ISX3B,2021-11,2021-03-26 05:05:00,SCT1,Starboard,Liverpool,15426.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,15.0,2021,3,15,0,11,2021-11,38485.0
AURORA - 09B/09B,aurora,ISX3B,2021-12,2021-04-04 05:31:00,SCT1,Starboard,Liverpool,9961.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,13.0,2021,3,28,6,7,2021-12,36818.0
AURORA - 10B/10B,aurora,ISX3B,2021-14,2021-04-17 22:22:00,SCT1,Starboard,Liverpool,13852.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,14.0,2021,4,8,3,7,2021-14,10812.0
AURORA - 11B/11B,aurora,ISX3,2021-17,2021-05-04 15:05:00,SCT1,Starboard,Rotterdam,11255.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,12.0,2021,4,26,0,19,2021-17,15388.0
AURORA - 12B/12B,aurora,ISX3,2021-18,2021-05-08 21:00:00,SCT1,Starboard,Rotterdam,7741.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,13.0,2021,5,3,0,11,2021-18,14747.0
AURORA - 28A/28A,aurora,ISX3,2021-23,2021-06-12 15:51:00,SCT1,Starboard,Rotterdam,6981.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,9.0,2021,6,7,0,19,2021-23,48977.0
AURORA - 29B/29B,aurora,ISX3B,2020-38,2020-09-26 23:30:00,SCT4,Starboard,Liverpool,1680.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,6.0,2020,9,25,4,19,2020-38,40773.0
AURORA - 30B/30B,aurora,ISX3B,2020-39,2020-10-07 22:34:00,SCT4,Starboard,Liverpool,10983.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,10.0,2020,9,30,2,7,2020-39,68102.0
AURORA - 31B/31B,aurora,ISX3B,2020-40,2020-10-17 23:01:00,SCT4,Starboard,Liverpool,15331.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,12.0,2020,10,7,2,7,2020-40,100828.0
AURORA - 32A/32A,aurora,ISX3,2021-25,2021-06-23 10:50:00,SCT1,Starboard,Rotterdam,2360.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,17.0,2021,6,21,0,19,2021-25,102576.0
AURORA - 32B/32B,aurora,ISX3B,2020-41,2020-11-01 23:57:00,SCT4,Starboard,Liverpool,22587.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,12.0,2020,10,17,5,7,2020-41,118845.0
AURORA - 33B/33B,aurora,ISX3B,2020-43,2020-11-14 23:20:00,SCT4,Starboard,Liverpool,23270.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,15.0,2020,10,29,3,19,2020-43,161214.0
AURORA - 34B/34B,aurora,ISX3B,2020-44,2020-11-29 11:45:00,SCT4,Starboard,Liverpool,34546.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,16.0,2020,11,5,3,11,2020-44,157296.0
AURORA - 35B/35B,aurora,ISX3B,2020-48,2020-12-08 12:40:00,SCT1,Starboard,Liverpool,10121.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,16.0,2020,12,1,1,11,2020-48,106446.0
AURORA - 36B/36B,aurora,ISX3B,2020-49,2020-12-20 22:02:00,SCT1,Starboard,Liverpool,17432.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,24.0,2020,12,8,1,19,2020-49,126739.0
AURORA - 37B/37B,aurora,ISX3B,2020-51,2021-01-02 01:00:00,SCT1,Starboard,Liverpool,8280.0,868,11386,9981,Antigua & Barbuda,2001,7,J. J. Sietas,Rudolf Schepers,0,0,0,12.0,2020,12,27,6,7,2020-51,249068.0
BARZAN - C13/D13,barzan,FE2,2021-16,2021-04-27 09:00:00,SCT5,Starboard,Hamburg,7741.0,18800,199744,195636,Malta,2015,5,Hyundai Samho HI,Hapag-Lloyd,0,0,1,12.0,2021,4,21,2,23,2021-16,17383.0
BARZAN - C25/D25,barzan,FE2,2021-31,2021-08-14 18:50:00,SCT5,Starboard,Hamburg,12920.0,18800,199744,195636,Malta,2015,5,Hyundai Samho HI,Hapag-Lloyd,0,0,1,17.0,2021,8,5,3,19,2021-31,190523.0
BARZAN - C31/D31,barzan,FE2,2020-36,2020-09-09 02:44:00,SCT5,Starboard,Hamburg,-2416.0,18800,199744,195636,Malta,2015,5,Hyundai Samho HI,Hapag-Lloyd,0,0,1,17.0,2020,9,10,3,19,2020-36,21432.0
BARZAN - C44/D44,barzan,FE2,2020-50,2021-01-03 05:45:00,SCT5,Starboard,Hamburg,23655.0,18800,199744,195636,Malta,2015,5,Hyundai Samho HI,Hapag-Lloyd,0,0,1,33.0,2020,12,17,3,19,2020-50,191671.0
BG DIAMOND - 31L/31L,bg diamond,BGLP2,2020-31,2020-08-05 16:30:00,SCT1,Portside,Rotterdam,540.0,1004,13250,12831,Cyprus,2017,12,Zhoushan Changhong,Jungerhans & Co,0,1,1,11.0,2020,8,5,2,7,2020-31,6265.0
BG DIAMOND - 32N/32N,bg diamond,BGLP3N,2020-32,2020-08-10 22:17:00,SCT1,Portside,Cork,197.0,1004,13250,12831,Cyprus,2017,12,Zhoushan Changhong,Jungerhans & Co,0,1,1,6.0,2020,8,10,0,19,2020-32,7769.0
BG DIAMOND - 35N/35N,bg diamond,BGLP3N,2020-35,2020-09-04 21:15:00,SCT1,Portside,Cork,3735.0,1004,13250,12831,Cyprus,2017,12,Zhoushan Changhong,Jungerhans & Co,0,1,1,8.0,2020,9,2,2,7,2020-35,12832.0
