Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Ship_ID
APL RAFFLES,NEU4I,INBOUND,2020-10-03 19:00:00,SCT5,Starboard,2020-10-05 19:00:00,"Dunkerque, France",M38/M38,2020-09-20 00:00:00,3046,APL RAFFLES - M38/M38
APL RAFFLES,NEU4I,ARRIVED,2020-10-10 19:00:00,SCT2,Starboard,2020-10-14 02:30:00,"Dunkerque, France",M38/M38,2020-10-15 00:00:00,2296,APL RAFFLES - M38/M38
APL RAFFLES,NEU4E,INBOUND,2021-01-08 07:30:00,SCT3,Starboard,2021-01-10 07:30:00,"Le Havre, France",N02/N02,2020-12-25 00:00:00,4149,APL RAFFLES - N02/N02
APL RAFFLES,NEU4E,ARRIVED,2021-01-11 14:25:00,SCT2,Starboard,2021-01-14 03:10:00,"Le Havre, France",N02/N02,2021-01-15 00:00:00,1654,APL RAFFLES - N02/N02
APL RAFFLES,NEU4E,INBOUND,2020-07-23 19:00:00,SCT2,Starboard,2020-07-25 07:30:00,"Le Havre, France",N29/N29,2020-07-15 00:00:00,1961,APL RAFFLES - N29/N29
APL RAFFLES,NEU4E,ARRIVED,2020-07-24 02:13:00,SCT2,Starboard,2020-07-25 14:00:00,"Le Havre, France",N29/N29,2020-07-25 00:00:00,3705,APL RAFFLES - N29/N29
APL SINGAPURA,FAL3,INBOUND,2021-03-14 19:30:00,SCT2,Starboard,2021-03-18 19:30:00,"Rotterdam, Netherlands",M10/M10,2021-02-28 00:00:00,4176,APL SINGAPURA - M10/M10
APL SINGAPURA,FAL3,ARRIVED,2021-03-15 16:16:00,SCT2,Starboard,2021-03-18 00:05:00,"Rotterdam, Netherlands",M10/M10,2021-03-20 00:00:00,2599,APL SINGAPURA - M10/M10
APL SINGAPURA,FAL3,INBOUND,2021-06-08 23:59:00,SCT2,Starboard,2021-06-11 19:30:00,"Rotterdam, Netherlands",M22/M22,2021-05-30 00:00:00,4390,APL SINGAPURA - M22/M22
APL SINGAPURA,FAL3,ARRIVED,2021-06-05 23:30:00,SCT2,Starboard,2021-06-08 00:05:00,"Rotterdam, Netherlands",M22/M22,2021-06-10 00:00:00,1131,APL SINGAPURA - M22/M22
APL SINGAPURA,FAL3,INBOUND,2021-08-24 16:00:00,SCT2,Starboard,2021-08-28 07:30:00,"Rotterdam, Netherlands",M33/M33,2021-08-10 00:00:00,1330,APL SINGAPURA - M33/M33
APL SINGAPURA,FAL3,ARRIVED,2021-09-03 00:20:00,SCT2,Starboard,2021-09-04 22:04:00,"Rotterdam, Netherlands",M33/M33,2021-09-05 00:00:00,619,APL SINGAPURA - M33/M33
APL SINGAPURA,NEU3,INBOUND,2020-12-13 07:00:00,SCT5,Starboard,2020-12-15 07:00:00,"Hamburg, Germany",M48/M48,2020-11-15 00:00:00,2350,APL SINGAPURA - M48/M48
APL SINGAPURA,NEU3,ARRIVED,2020-12-14 14:28:00,SCT2,Starboard,2020-12-16 23:59:00,"Hamburg, Germany",M48/M48,2020-12-15 00:00:00,2463,APL SINGAPURA - M48/M48
APL TEMASEK,FAL3,INBOUND,2021-02-07 07:00:00,SCT5,Starboard,2021-02-09 07:00:00,"Rotterdam, Netherlands",M06/M06,2021-01-25 00:00:00,3344,APL TEMASEK - M06/M06
APL TEMASEK,FAL3,ARRIVED,2021-02-15 14:15:00,SCT2,Starboard,2021-02-19 00:10:00,"Rotterdam, Netherlands",M06/M06,2021-02-20 00:00:00,2560,APL TEMASEK - M06/M06
APL VANDA,FAL3,INBOUND,2021-03-05 07:30:00,SCT2,Starboard,2021-03-07 23:59:00,"Rotterdam, Netherlands",M09/M09,2021-02-20 00:00:00,2532,APL VANDA - M09/M09
APL VANDA,FAL3,ARRIVED,2021-03-06 20:00:00,SCT2,Starboard,2021-03-08 19:06:00,"Rotterdam, Netherlands",M09/M09,2021-03-10 00:00:00,1010,APL VANDA - M09/M09
APL VANDA,FAL3,INBOUND,2021-05-30 23:59:00,SCT2,Starboard,2021-06-02 23:59:00,"Rotterdam, Netherlands",M21/M21,2021-05-15 00:00:00,1862,APL VANDA - M21/M21
APL VANDA,FAL3,ARRIVED,2021-06-08 07:58:00,SCT2,Starboard,2021-06-09 16:15:00,"Rotterdam, Netherlands",M21/M21,2021-06-10 00:00:00,1174,APL VANDA - M21/M21
APL VANDA,FAL3,INBOUND,2021-08-12 23:59:00,SCT2,Starboard,2021-08-16 07:30:00,"Rotterdam, Netherlands",M32/M32,2021-07-30 00:00:00,4550,APL VANDA - M32/M32
APL VANDA,FAL3,ARRIVED,2021-08-13 18:35:00,SCT2,Starboard,2021-08-16 16:30:00,"Rotterdam, Netherlands",M32/M32,2021-08-15 00:00:00,2125,APL VANDA - M32/M32
APL VANDA,NEU4I,INBOUND,2020-09-14 19:30:00,SCT5,Starboard,2020-09-16 19:30:00,"Dunkerque, France",M35/M35,2020-08-30 00:00:00,4577,APL VANDA - M35/M35
APL VANDA,NEU4I,ARRIVED,2020-09-14 23:59:00,SCT5,Starboard,2020-09-17 07:30:00,"Dunkerque, France",M35/M35,2020-09-15 00:00:00,2201,APL VANDA - M35/M35
APL VANDA,NEU4E,INBOUND,2020-09-23 23:59:00,SCT2,Starboard,2020-09-25 07:30:00,"Le Havre, France",N38/N38,2020-09-10 00:00:00,1395,APL VANDA - N38/N38
APL VANDA,NEU4E,ARRIVED,2020-09-25 03:30:00,SCT2,Starboard,2020-09-26 19:30:00,"Le Havre, France",N38/N38,2020-09-25 00:00:00,3938,APL VANDA - N38/N38
ARGOLIKOS,LEVANT,INBOUND,2021-01-22 19:30:00,SCT3,Starboard,2021-01-23 07:30:00,"Rotterdam, Netherlands",A03/A03,2021-01-10 00:00:00,892,ARGOLIKOS - A03/A03
ARGOLIKOS,LEVANT,ARRIVED,2021-01-23 06:05:00,SCT3,Starboard,2021-01-24 01:57:00,"Rotterdam, Netherlands",A03/A03,2021-01-25 00:00:00,3339,ARGOLIKOS - A03/A03
